Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A2.63,  56.93830515226018, 21.02550 d, 0.007513396378149295, Wrong Period,  33.50918988265303 d, 17.64964 d, Wrong t0 value, Transit not found
Planet A2.64,  46.92857643755747, 7.99926 d, 0.001657190366949557, Wrong Period,  39.40628595371848 d, 3.88435 d, Wrong t0 value, Transit not found
Planet A2.65,  68.17229927761667, 21.05558 d, 0.004517501571520199, Wrong Period,  56.56691110579374 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.66,  25.510777137624714, 13.98375 d, 0.005234742947229698, Wrong Period,  10.408826024001781 d, 0.67986 d, Wrong t0 value, Transit not found
Planet A2.67,  26.965982329521896, 26.96396 d, 0.008377364540328003, Correct Period,  5.304644858790643 d, 5.32226 d, Correct t0 value, Found Correct Transit
Planet A2.68,  41.54916262781499, 363.23447 d, 0.13423280726283338, Wrong Period,  32.69020152733111 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.69,  7.245829165568107, nan d, -182.1917299712955, Wrong Period,  5.021330267479478 d, no values d, Wrong t0 value, Transit not found
Planet A2.70,  36.883293538545566, 218.41384 d, 0.17035172894780715, Wrong Period,  14.153944745236664 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.71,  19.198500598519658, 65.01225 d, 0.020306441815279186, Wrong Period,  11.000027993936158 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A2.72,  51.975589378802816, 363.23447 d, 0.13423280726283338, Wrong Period,  27.19987285231672 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.73,  65.05937118761807, 21.02550 d, 0.007513396378149295, Wrong Period,  12.719864903237893 d, 17.64964 d, Correct t0 value, Transit not found
Planet A2.74,  57.15637114672854, 2.29408 d, 0.00023507023856650378, Wrong Period,  34.07128034877744 d, 1.16515 d, Wrong t0 value, Transit not found
Planet A2.75,  5.547009545045564, 5.54697 d, 0.0015257088604978541, Correct Period,  1.456979959554643 d, 1.46705 d, Correct t0 value, Found Correct Transit
Planet A2.76,  6.400110602992043, 6.40025 d, 0.0015385708068431647, Correct Period,  1.3497999382541332 d, 1.33695 d, Correct t0 value, Found Correct Transit
Planet A2.77,  57.348898956287236, 2.29408 d, 0.00023507023856650378, Wrong Period,  21.005619119712783 d, 1.16515 d, Wrong t0 value, Transit not found
Planet A2.78,  20.63610177602434, 8.45410 d, 0.0008920020311187216, Wrong Period,  2.5827973909562854 d, 1.70732 d, Correct t0 value, Transit not found
Planet A2.79,  16.73257117705206, 21.05558 d, 0.004517501571520199, Correct Period,  4.3667130269198475 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.80,  54.01156881665191, 129.15005 d, 0.03381183051237713, Wrong Period,  26.710469903163407 d, 28.88417 d, Correct t0 value, Transit not found
