Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet B5.6,  96.81308413128181, 96.79949 d, 0.08058304975420327, Correct Period,  28.2343958810388 d, 28.29382 d, Correct t0 value, Found Correct Transit
Planet B5.7,  85.14147572578952, 360.29728 d, 0.9290582346812073, Wrong Period,  51.40281934307329 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B5.8,  108.64937776045943, 108.66593 d, 0.08057280019739466, Correct Period,  53.44815559614078 d, 53.42341 d, Correct t0 value, Found Correct Transit
Planet B5.9,  103.06934766660922, 103.06520 d, 0.10011183694616932, Correct Period,  28.39692695610773 d, 28.39685 d, Correct t0 value, Found Correct Transit
Planet B5.10,  126.01286499308168, 125.99046 d, 0.09814031864270589, Correct Period,  35.65422053579661 d, 35.69114 d, Correct t0 value, Found Correct Transit
Planet B6.1,  75.82234566223636, 75.82292 d, 0.05818462430134019, Correct Period,  22.12474596573725 d, 22.12049 d, Correct t0 value, Found Correct Transit
Planet B6.2,  81.01897803240709, 81.01817 d, 0.06356024293437912, Correct Period,  80.45466319654606 d, 80.46168 d, Correct t0 value, Found Correct Transit
Planet B6.3,  78.14463422992692, 78.14647 d, 0.060574148603770084, Correct Period,  52.468163803223035 d, 52.45428 d, Correct t0 value, Found Correct Transit
Planet B6.4,  119.69236453547411, 119.69846 d, 0.09166045266406542, Correct Period,  38.27118939990953 d, 38.24836 d, Correct t0 value, Found Correct Transit
Planet B6.5,  139.1943735470963, 139.17427 d, 0.13081448655772476, Correct Period,  34.65270778487159 d, 34.69979 d, Correct t0 value, Found Correct Transit
Planet B6.6,  85.86695742244272, 85.85008 d, 0.058864099802512726, Correct Period,  5.765497096240176 d, 5.86927 d, Correct t0 value, Found Correct Transit
Planet B6.7,  125.7891437999861, 125.79438 d, 0.130582323959338, Correct Period,  125.00248021172251 d, 124.98726 d, Correct t0 value, Found Correct Transit
Planet B6.8,  124.9091591804076, 360.29728 d, 1.128975298023363, Wrong Period,  28.322706242415148 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B6.9,  122.08929290909666, 122.08224 d, 0.10976731015967545, Correct Period,  91.45058471378508 d, 91.47624 d, Correct t0 value, Found Correct Transit
Planet B6.10,  147.66623459868524, 147.64607 d, 0.10106274899062839, Correct Period,  25.500170472136176 d, 25.55503 d, Correct t0 value, Found Correct Transit
Planet C1.1,  190.47239976356644, 359.89921 d, 0.927234541296599, Wrong Period,  34.445781199945245 d, 314.01551 d, Wrong t0 value, Transit not found
Planet C1.2,  224.7963969058174, 179.92541 d, 0.42104265531776264, Wrong Period,  114.66586006652084 d, 135.06988 d, Wrong t0 value, Transit not found
Planet C1.3,  194.25374231818526, 359.89921 d, 0.927234541296599, Wrong Period,  111.26754311140932 d, 314.01551 d, Wrong t0 value, Transit not found
Planet C1.4,  152.31833315105627, 360.03184 d, 0.7947719448319788, Wrong Period,  86.37738447130027 d, 314.69504 d, Wrong t0 value, Transit not found
Planet C1.5,  191.67743675322356, 360.43010 d, 1.3272294539247866, Wrong Period,  62.69964483055219 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C1.6,  192.67480002741368, 4.75507 d, 0.0006211807548703874, Wrong Period,  170.50367183151164 d, 1.36450 d, Wrong t0 value, Transit not found
Planet C1.7,  164.16649506447538, 360.43010 d, 1.1956799059398406, Wrong Period,  126.40721540764793 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C1.8,  199.8640085186745, 10.57827 d, 0.0018042074749571313, Wrong Period,  17.383345448536545 d, 9.35647 d, Wrong t0 value, Transit not found
Planet C1.9,  167.54022065852402, 360.43010 d, 1.1956799059398406, Wrong Period,  29.285694961501022 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C1.10,  197.9003158515173, 10.57827 d, 0.0018042074749571313, Wrong Period,  60.568120863142624 d, 9.35647 d, Wrong t0 value, Transit not found
Planet C2.1,  164.7662795147934, 358.18101 d, 1.3187856062284027, Wrong Period,  27.23733477534432 d, 135.86001 d, Wrong t0 value, Transit not found
Planet C2.2,  222.84566025093324, 179.92541 d, 0.3946504494542751, Wrong Period,  57.54162786341013 d, 135.06988 d, Wrong t0 value, Transit not found
Planet C2.3,  161.00185551727574, 360.03184 d, 0.7947719448319788, Wrong Period,  20.428470589964277 d, 314.69504 d, Wrong t0 value, Transit not found
Planet C2.4,  176.39835758447623, 359.89921 d, 0.927234541296599, Wrong Period,  127.57469641244744 d, 314.01551 d, Wrong t0 value, Transit not found
Planet C2.5,  195.98435932922456, 359.89921 d, 0.927234541296599, Wrong Period,  77.67782365337497 d, 314.01551 d, Wrong t0 value, Transit not found
Planet C2.6,  165.92583532765602, 360.16453 d, 0.8637571467139935, Wrong Period,  143.3840307641045 d, 358.99891 d, Wrong t0 value, Transit not found
Planet C2.7,  219.6447677577302, 4.75507 d, 0.0006211807548703874, Wrong Period,  106.35421412998126 d, 1.36450 d, Wrong t0 value, Transit not found
Planet C2.8,  164.84029843677754, 164.78820 d, 0.1403247735286186, Correct Period,  148.2122729025406 d, 148.09841 d, Correct t0 value, Found Correct Transit
Planet C2.9,  173.61937164853302, 360.03184 d, 0.8607918242955748, Wrong Period,  103.17648342646342 d, 314.69504 d, Wrong t0 value, Transit not found
